Date,Open,High,Low,Close,Volume,sentiment_score,total_addresses,million_dollar_addresses,ratio,SMA_5,SMA_14,WMA_3,WMA_5,WMA_10,EMA_3,EMA_5,EMA_10,RSI_14,Stoch_RSI_14,MACD_30_15,MACD_Signal_9,ROC_5,ROC_12,MOM_5,MOM_10,MOM_20,K,D,J,STD_10,STD_20,ATR_7,ATR_14,BB_Mid_10,BB_High_10,BB_Low_10,OBV,VWAP_20,VWAP_10,VWAP_5,MFI_14,MFI_7,AD_Line,CMF_20,CMF_10
2025-12-03,91308.05,94181.41,91024.47,93453.84,9741.98216681,0.1249709635416666,57487749.0,92.0,1.6003409700386771e-06,90448.364,88829.95071428572,90348.08333333331,90448.364,90052.127,91653.6228125,90950.29315097384,89957.79952806243,,,1054.1246389092848,664.7587899695842,0.0280645129352592,0.098566714408371,2551.1399999999994,6645.559999999998,,94.67245525292964,,,2139.2083828112823,,3339.577142857142,3838.102142857144,90052.127,94110.98952764542,85993.26447235457,-14815.502917420008,,89289.3051026006,89571.7128290081,59.66981578581078,69.94340374347122,21569.066065156632,,0.2338137600360103
2025-12-04,93452.02,94087.05,90904.73,92093.54,6198.20707297,0.1243119635890767,57521337.0,90.0,1.5646367886059397e-06,90701.46,89226.85500000001,92285.14333333333,90701.46,90434.861,91873.58140625,91331.37543398255,90346.1159775056,61.60825901810304,,1155.5092561439378,762.908883204455,0.0139326987717232,0.0874963393321051,1265.479999999996,3827.339999999997,,84.71182037320706,,,2126.5227533722923,,3528.8242857142864,3558.252857142858,90434.861,94469.65423809736,86400.06776190264,-21013.70999039001,,89774.2123590155,89847.93200980526,57.16977198696282,58.76074443248565,20001.751266010404,,0.1545217430966595
2025-12-05,92093.7,92716.42,88099.05,89345.29,8310.94183595,0.1243119635890767,57538416.0,89.0,1.546792668049812e-06,90496.616,89532.31285714285,91630.89,90496.616,90636.889,90609.435703125,90669.34695598838,90164.14761795913,54.82827369509635,,1062.9540496372792,822.9179164910199,-0.0113336898695146,0.0292254379420948,-1024.2200000000012,2020.2799999999988,,54.96885329857061,78.1177096415691,8.671140612573623,1879.915180695684,,3768.2542857142857,3397.259285714286,90636.889,94203.7772673552,87070.00073264478,-29324.651826340007,,90089.52823811743,89811.09207894209,66.31130271213226,44.09428257972345,16177.098444644143,,0.1110643222621161
2025-12-06,89345.29,90296.32,88932.0,89267.97,3017.16860213,0.1243119635890767,57558420.0,89.0,1.54625509178327e-06,91093.738,89859.73928571427,90235.6,91093.738,90516.802,89938.7028515625,90202.22130399226,90001.20623287564,54.646065039304645,,973.9443116528856,853.1231955233931,0.0346027855519945,0.0113494180105182,2985.6100000000006,-1200.8699999999951,,52.67078364114315,64.11715243764027,29.778046048148923,1929.542826277789,,3820.301428571429,3344.3392857142867,90516.802,94177.85210432584,86855.75189567416,-32341.820428470008,,90202.45164822918,91012.91005961195,62.91780249438124,44.21754360167354,14645.91280143524,,-0.0253943927813454
2025-12-07,89262.8,91779.99,87733.18,90402.29,4070.57697141,0.1241505194805194,57588863.0,89.0,1.5454377003414706e-06,90912.586,90116.45428571428,89671.84999999999,90912.586,90425.361,90170.49642578124,90268.9108693282,90074.13055417096,56.9085414208852,,961.8392090958804,874.8663982378906,-0.009919826346089,0.0352393890364284,-905.7600000000092,-914.4100000000036,,63.5972377547943,57.07895823150269,76.63379680137753,1908.9811502733503,,4166.011428571431,3384.405000000002,90425.361,94047.39806711517,86803.32393288481,-28271.24345706001,,90094.86810619208,91326.72392374351,61.29113678611381,44.693369854824816,15944.907270325186,,-0.0464853504770136
2025-12-08,90402.3,92291.96,89599.0,90653.86,6661.98775031,0.1241505194805194,57591530.0,89.0,1.54536613283238e-06,90352.59,90287.00142857144,90108.04,90352.59,90400.477,90412.17821289063,90397.2272462188,90179.53590795808,57.41591095559053,,959.389756526274,891.7710698955673,-0.0299611016518956,0.0020451240449197,-2799.979999999996,-248.8399999999965,,66.02051166460045,60.76284435351264,76.53584628677606,1903.6820587252207,,3603.048571428575,3290.1571428571447,90400.477,94012.45974782208,86788.49425217793,-21609.25570675001,,89990.73854547976,90676.1866182638,58.66050764126119,65.7952359324528,14502.05712197882,,0.0012804116766101
2025-12-09,90653.86,94640.66,89537.55,92690.0,9862.67083813,0.1241505194805194,57592402.0,90.0,1.5627061361323325e-06,90471.882,90670.215,91248.71666666666,90471.882,90586.671,91551.08910644532,91161.48483081254,90635.98392469296,61.37946634356464,,1072.8013759428577,927.9771311050254,0.0064766757798646,0.0150388702176054,596.4600000000064,1861.9400000000023,,82.00607712076568,70.54127551338682,104.9356803355234,2036.567229315349,2534.275624099781,3451.975714285719,3481.8221428571446,90586.671,94450.78563161696,86722.55636838304,-11746.58486862001,88502.07195781902,90240.81381622056,90847.31560806977,67.57118160661294,63.65664068872972,16824.73078305142,0.0816650877604866,0.0198619061287202
2025-12-10,92690.0,94500.0,91556.64,92035.99,8904.69319331,0.1241505194805194,57597641.0,89.0,1.5452021724292493e-06,91010.022,90782.15428571428,91793.28333333333,91010.022,90753.319,91793.53955322264,91452.98655387505,90890.53048383968,59.46494578596315,,1117.425593643202,965.8668236126608,0.0301157453291607,0.0124670664347703,2690.700000000012,1666.4800000000105,5499.110000000001,75.97314185667665,74.66657688068092,78.5862718086681,2084.442526605425,2505.0238561365945,3421.46428571429,3380.520714285716,90753.319,94708.27062147357,86798.36737852644,-20651.27806193001,88689.65666754269,90466.63839707855,91556.86065277792,66.97089608782184,62.98478027038586,10820.44031466341,0.1362989940651532,-0.0109139751915854
2025-12-11,92035.85,93594.76,89257.98,92542.0,9119.99377433,0.1241505194805194,57634654.0,91.0,1.5789111877031482e-06,91664.828,90869.67571428572,92422.66333333332,91664.828,91379.283,92167.76977661133,91815.9910359167,91190.79766859607,60.49174186748677,,1175.5466218927177,1007.802783268672,0.0366764249259841,0.0188701597281721,3274.029999999999,6259.639999999999,7473.119999999995,80.64084659052122,79.54002185598785,82.84249605958797,1429.6736950014213,2332.667116345308,3586.387142857146,3557.605714285716,91379.283,94091.89811222003,88666.66788777999,-11531.28428760001,89634.77111060992,91385.05419249092,91774.65149765198,59.016852011787776,59.33055796960122,15512.649121407503,0.1226886640995447,0.1004377646672483
2025-12-12,92539.63,92791.26,89500.0,90278.0,6137.8902612,0.1241505194805194,57594838.0,90.0,1.5626400407619862e-06,91639.97,90825.05428571429,91618.66333333332,91639.97,91276.278,91222.88488830566,91303.3273572778,91024.83445612408,53.911567393749365,,1076.7057972591138,1021.5833860667606,-0.00137485455291,-0.0010126202963808,-124.2899999999936,-1030.050000000003,5594.0,59.75650929002476,72.12349924574089,35.02252937859251,1471.8601863387064,1960.8521258813687,3396.94285714286,3582.598571428573,91276.278,94068.9363516901,88483.6196483099,-17669.17454880001,89893.56925049316,91603.39434724636,91816.49656715622,52.01938733617211,61.919309493918746,12276.55247311782,0.0971687848299816,-0.0561038082536727
2025-12-13,90278.0,90657.0,89777.79,90255.32,1542.14542217,0.1241505194805194,57627164.0,90.0,1.5617634766826284e-06,91560.26200000002,90784.14428571428,91025.10666666667,91560.26200000002,90956.426,90739.10244415284,90953.99157151852,90884.92273682878,53.84837493822926,,985.7449142141996,1014.4156916962484,-0.0043962827396427,0.0460460284118331,-398.5399999999936,-3198.519999999989,3447.040000000008,59.547296935795465,66.64821760544716,45.34545559649209,1281.2701002451945,1777.780603076951,3327.641428571432,3573.97142857143,90956.426,93387.46508878826,88525.38691121175,-19211.31997097001,90098.1125609293,91374.35663677292,91929.06426069606,52.80396615500559,63.83018758232932,12409.594329183636,0.0874484247549191,-0.1435062853405493
