Date,Open,High,Low,Close,Volume,sentiment_score,total_addresses,million_dollar_addresses,ratio,SMA_5,SMA_14,WMA_3,WMA_5,WMA_10,EMA_3,EMA_5,EMA_10,RSI_14,Stoch_RSI_14,MACD_30_15,MACD_Signal_9,ROC_5,ROC_12,MOM_5,MOM_10,MOM_20,K,D,J,STD_10,STD_20,ATR_7,ATR_14,BB_Mid_10,BB_High_10,BB_Low_10,OBV,VWAP_20,VWAP_10,VWAP_5,MFI_14,MFI_7,AD_Line,CMF_20,CMF_10
2025-10-01,4145.98,4358.96,4123.35,4350.52,151382.25097815,0.3127785714285714,159348281.0,18104.0,0.0001136127725155,4350.52,4350.52,4350.52,4350.52,4350.52,4350.52,4350.52,4350.52,,,0.0,0.0,,,,,,,,,,,,,4350.52,,,0.0,,,,,,140536.64851428577,,
2025-10-02,4350.52,4521.03,4335.01,4487.49,153389.71044144,0.3127785714285714,159477083.0,18667.0,0.0001170513007188,4419.005,4419.005,4419.005,4419.005,4419.005,4419.005,4396.176666666667,4375.423636363636,,,8.284475806451155,1.6568951612902312,,,,,,,,,,,,,4419.005,,,153389.71044144,,,,,,238613.04976095204,,
2025-10-03,4487.3,4596.19,4430.08,4515.89,194121.46395236,0.3127785714285714,159590031.0,19098.0,0.000119669128957,4451.3,4451.3,4451.3,4451.3,4451.3,4467.4475,4436.081111111112,4400.962975206611,,,16.716651762486435,4.668846481529473,,,,,,,,,,,,,4451.3,,,347511.1743938,,,,,,245052.21216163668,,
2025-10-04,4515.89,4521.34,4442.6,4490.01,51384.17568724,0.3127785714285714,159704383.0,19188.0,0.0001201469843191,4460.9775,4460.9775,4497.796666666666,4460.9775,4460.9775,4478.72875,4454.057407407408,4417.153343350863,,,21.918661502607392,8.118809485745057,,,,,,,,,,,,,4460.9775,,,296126.99870656,,,,,,255545.7039707657,,
2025-10-05,4489.86,4619.31,4469.69,4515.4,85645.8875434,0.3127785714285714,159780432.0,19111.0,0.0001196078879045,4471.862,4471.862,4507.099999999999,4471.862,4471.862,4497.064375,4474.504938271606,4435.016371832524,,,27.535680269701515,12.00218364253635,,,,,,,,,,,,,4471.862,,,381772.88624996,,,4442.215672134423,,,222230.70159791503,,
2025-10-06,4515.4,4739.46,4489.11,4686.32,180142.07592977,0.3127785714285714,159874672.0,19184.0,0.0001199939912933,4539.022,4507.6050000000005,4563.91,4539.022,4507.6050000000005,4591.6921875,4545.109958847737,4480.707940590246,,,42.24932320994685,18.05161155601845,0.0771861754456937,,335.7999999999993,,,,,,,,,,4507.6050000000005,,,561914.96217973,,,4532.846523471388,,,325897.8431165964,,
2025-10-07,4686.33,4759.16,4432.47,4449.8,198779.53212198,0.3127785714285714,159971390.0,19666.0,0.0001229344822221,4531.484,4499.347142857143,4550.506666666666,4531.484,4499.347142857143,4520.74609375,4513.339972565159,4475.088315028383,,,39.6467863972448,22.37064652426372,-0.0083989045100935,,-37.6899999999996,,,,,,,,199.01999999999992,,4499.347142857143,,,363135.43005775,,,4555.2111604489855,,71.0395479537648,148207.71863901263,,
2025-10-08,4449.81,4559.89,4411.13,4527.3,133876.75247388,0.3127785714285714,160080427.0,18920.0,0.0001181905892842,4533.766,4502.84125,4554.473333333332,4533.766,4502.84125,4524.023046875,4517.993315043439,4484.581348659585,,,41.88425193848252,26.27336760710748,0.0025266337311138,,11.409999999999854,,,,,,,,186.6128571428572,,4502.84125,,,497012.18253163,,,4556.01622804999,,61.570498069499614,223425.6466557299,,
2025-10-09,4526.93,4532.97,4266.83,4370.9,141076.62781726,0.3127785714285714,160198821.0,18871.0,0.0001177973713052,4509.944,4488.181111111111,4449.333333333333,4509.944,4488.181111111111,4447.4615234375,4468.96221002896,4463.91201253966,,,33.91827210378233,27.802348506442453,-0.0265277805617361,,-119.11000000000058,,,,,,,,198.05857142857155,,4488.181111111111,,,355935.55471436994,,,4529.348966071052,,47.12949161800472,192680.7589522611,,
2025-10-10,4370.72,4397.03,3510.0,3836.15,386709.49939687,0.3127785714285714,160306561.0,18403.0,0.0001147987947916,4374.093999999999,4422.978,4244.783333333334,4374.093999999999,4422.978,4141.80576171875,4258.024806685973,4349.773464805176,,,-5.219552294006462,21.19796834635267,-0.1504296407848694,,-679.2499999999995,,,,,,225.85896355420067,,301.047142857143,,4422.978,4851.51525287774,3994.44074712226,-30773.94468250004,,4354.171659476594,4300.366075845849,,24.02839304321236,90347.89445677937,,0.0538905246689562
